Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;726;-;-;726;-;-
Wählende;301;41,5 %;-;301;41,5 %;-
Ungültige Stimmen;3;1,0 %;-;2;0,7 %;-
Gültige Stimmen;298;99,0 %;-;299;99,3 %;-
SPD;94;31,5 %;-;76;25,4 %;-
AfD;104;34,9 %;-;102;34,1 %;-
CDU;26;8,7 %;-;23;7,7 %;-
GRÜNE/B 90;10;3,4 %;-;19;6,4 %;-
DIE LINKE;15;5,0 %;-;22;7,4 %;-
BVB / FREIE WÄHLER;39;13,1 %;-;13;4,3 %;-
FDP;3;1,0 %;-;3;1,0 %;-
Tierschutzpartei;-;-;-;5;1,7 %;-
Plus;-;-;-;2;0,7 %;-
BSW;-;-;-;29;9,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;7;2,3 %;-;5;1,7 %;-
WU;-;-;-;0;0,0 %;-
