Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;959;-;-;959;-;-
Wählende;397;41,4 %;-;397;41,4 %;-
Ungültige Stimmen;7;1,8 %;-;4;1,0 %;-
Gültige Stimmen;390;98,2 %;-;393;99,0 %;-
SPD;106;27,2 %;-;87;22,1 %;-
AfD;167;42,8 %;-;159;40,5 %;-
CDU;30;7,7 %;-;28;7,1 %;-
GRÜNE/B 90;7;1,8 %;-;12;3,1 %;-
DIE LINKE;21;5,4 %;-;16;4,1 %;-
BVB / FREIE WÄHLER;44;11,3 %;-;12;3,1 %;-
FDP;5;1,3 %;-;4;1,0 %;-
Tierschutzpartei;-;-;-;15;3,8 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;47;12,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;2;0,5 %;-
DLW;10;2,6 %;-;7;1,8 %;-
WU;-;-;-;1;0,3 %;-
