Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.051;-;-;1.051;-;-
Wählende;522;49,7 %;-;522.0;49,7 %;-
Ungültige Stimmen;5;1,0 %;-;6.0;1,1 %;-
Gültige Stimmen;517;99,0 %;-;516.0;98,9 %;-
SPD;162;31,3 %;-;156.0;30,2 %;-
AfD;182;35,2 %;-;180.0;34,9 %;-
CDU;43;8,3 %;-;47.0;9,1 %;-
GRÜNE/B 90;8;1,5 %;-;12.0;2,3 %;-
DIE LINKE;12;2,3 %;-;7.0;1,4 %;-
BVB / FREIE WÄHLER;82;15,9 %;-;25.0;4,8 %;-
FDP;8;1,5 %;-;3.0;0,6 %;-
Tierschutzpartei;-;-;-;9.0;1,7 %;-
Plus;-;-;-;4.0;0,8 %;-
BSW;-;-;-;65.0;12,6 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;20;3,9 %;-;5.0;1,0 %;-
WU;-;-;-;2.0;0,4 %;-
