Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;359;-;-;359;-;-
Wählende;176;49,0 %;+112;176;49,0 %;+112
Ungültige Stimmen;2;1,1 %;-03;0;0,0 %;-13
Gültige Stimmen;174;98,9 %;+03;176;100,0 %;+13
SPD;38;21,8 %;-05;33;18,8 %;-41
AfD;71;40,8 %;+140;66;37,5 %;+92
CDU;20;11,5 %;-09;16;9,1 %;-32
GRÜNE/B 90;1;0,6 %;-74;4;2,3 %;-60
DIE LINKE;3;1,7 %;-125;4;2,3 %;-87
BVB / FREIE WÄHLER;33;19,0 %;+67;12;6,8 %;-13
FDP;2;1,1 %;-29;1;0,6 %;-35
Tierschutzpartei;-;-;-;3;1,7 %;-18
Plus;-;-;-;1;0,6 %;-08
BSW;-;-;-;33;18,8 %;+188
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;6;3,4 %;+34;3;1,7 %;+17
WU;-;-;-;0;0,0 %;00
