Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;598;-;-;598;-;-
Wählende;321;53,7 %;-;321;53,7 %;-
Ungültige Stimmen;9;2,8 %;-;4;1,2 %;-
Gültige Stimmen;312;97,2 %;-;317;98,8 %;-
SPD;102;32,7 %;-;96;30,3 %;-
AfD;129;41,3 %;-;117;36,9 %;-
CDU;31;9,9 %;-;24;7,6 %;-
GRÜNE/B 90;6;1,9 %;-;9;2,8 %;-
DIE LINKE;11;3,5 %;-;4;1,3 %;-
BVB / FREIE WÄHLER;28;9,0 %;-;9;2,8 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;9;2,8 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;47;14,8 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;5;1,6 %;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
