Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;331;-;-;331;-;-
Wählende;196;59,2 %;-;196;59,2 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;196;100,0 %;-;196;100,0 %;-
SPD;49;25,0 %;-;46;23,5 %;-
AfD;81;41,3 %;-;76;38,8 %;-
CDU;38;19,4 %;-;24;12,2 %;-
GRÜNE/B 90;5;2,6 %;-;8;4,1 %;-
DIE LINKE;4;2,0 %;-;4;2,0 %;-
BVB / FREIE WÄHLER;15;7,7 %;-;6;3,1 %;-
FDP;2;1,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;4;2,0 %;-
Plus;-;-;-;3;1,5 %;-
BSW;-;-;-;24;12,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;2;1,0 %;-;1;0,5 %;-
WU;-;-;-;0;0,0 %;-
