Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.470;-;-;1.47;-;-
Wählende;602;41,0 %;-;602.0;41,0 %;-
Ungültige Stimmen;5;0,8 %;-;2.0;0,3 %;-
Gültige Stimmen;597;99,2 %;-;600.0;99,7 %;-
SPD;186;31,2 %;-;164.0;27,3 %;-
AfD;242;40,5 %;-;223.0;37,2 %;-
CDU;70;11,7 %;-;56.0;9,3 %;-
GRÜNE/B 90;11;1,8 %;-;20.0;3,3 %;-
DIE LINKE;29;4,9 %;-;16.0;2,7 %;-
BVB / FREIE WÄHLER;45;7,5 %;-;22.0;3,7 %;-
FDP;8;1,3 %;-;6.0;1,0 %;-
Tierschutzpartei;-;-;-;6.0;1,0 %;-
Plus;6;1,0 %;-;2.0;0,3 %;-
BSW;-;-;-;82.0;13,7 %;-
III. Weg;-;-;-;1.0;0,2 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;1.0;0,2 %;-
