Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;998;-;-;998;-;-
Wählende;494;49,5 %;-;494;49,5 %;-
Ungültige Stimmen;3;0,6 %;-;2;0,4 %;-
Gültige Stimmen;491;99,4 %;-;492;99,6 %;-
SPD;150;30,5 %;-;143;29,1 %;-
AfD;194;39,5 %;-;175;35,6 %;-
CDU;64;13,0 %;-;41;8,3 %;-
GRÜNE/B 90;5;1,0 %;-;11;2,2 %;-
DIE LINKE;18;3,7 %;-;7;1,4 %;-
BVB / FREIE WÄHLER;38;7,7 %;-;15;3,0 %;-
FDP;6;1,2 %;-;3;0,6 %;-
Tierschutzpartei;-;-;-;11;2,2 %;-
Plus;16;3,3 %;-;1;0,2 %;-
BSW;-;-;-;83;16,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,4 %;-
