Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.036;-;-;1.036;-;-
Wählende;413;39,9 %;-;413.0;39,9 %;-
Ungültige Stimmen;5;1,2 %;-;5.0;1,2 %;-
Gültige Stimmen;408;98,8 %;-;408.0;98,8 %;-
SPD;136;33,3 %;-;110.0;27,0 %;-
AfD;167;40,9 %;-;148.0;36,3 %;-
CDU;34;8,3 %;-;28.0;6,9 %;-
GRÜNE/B 90;6;1,5 %;-;13.0;3,2 %;-
DIE LINKE;29;7,1 %;-;17.0;4,2 %;-
BVB / FREIE WÄHLER;15;3,7 %;-;6.0;1,5 %;-
FDP;7;1,7 %;-;7.0;1,7 %;-
Tierschutzpartei;-;-;-;13.0;3,2 %;-
Plus;14;3,4 %;-;6.0;1,5 %;-
BSW;-;-;-;54.0;13,2 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;2.0;0,5 %;-
DLW;-;-;-;3.0;0,7 %;-
WU;-;-;-;1.0;0,2 %;-
