Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;948;-;-;948;-;-
Wählende;440;46,4 %;-;440;46,4 %;-
Ungültige Stimmen;15;3,4 %;-;13;3,0 %;-
Gültige Stimmen;425;96,6 %;-;427;97,0 %;-
SPD;146;34,4 %;-;115;26,9 %;-
AfD;125;29,4 %;-;120;28,1 %;-
CDU;55;12,9 %;-;40;9,4 %;-
GRÜNE/B 90;8;1,9 %;-;27;6,3 %;-
DIE LINKE;56;13,2 %;-;33;7,7 %;-
BVB / FREIE WÄHLER;26;6,1 %;-;9;2,1 %;-
FDP;3;0,7 %;-;4;0,9 %;-
Tierschutzpartei;-;-;-;9;2,1 %;-
Plus;6;1,4 %;-;4;0,9 %;-
BSW;-;-;-;66;15,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
