Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;931;-;-;931;-;-
Wählende;429;46,1 %;-;429;46,1 %;-
Ungültige Stimmen;8;1,9 %;-;9;2,1 %;-
Gültige Stimmen;421;98,1 %;-;420;97,9 %;-
SPD;156;37,1 %;-;146;34,8 %;-
AfD;129;30,6 %;-;118;28,1 %;-
CDU;68;16,2 %;-;36;8,6 %;-
GRÜNE/B 90;7;1,7 %;-;26;6,2 %;-
DIE LINKE;30;7,1 %;-;17;4,0 %;-
BVB / FREIE WÄHLER;23;5,5 %;-;7;1,7 %;-
FDP;5;1,2 %;-;7;1,7 %;-
Tierschutzpartei;-;-;-;11;2,6 %;-
Plus;3;0,7 %;-;3;0,7 %;-
BSW;-;-;-;45;10,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;4;1,0 %;-
