Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;884;-;-;884;-;-
Wählende;457;51,7 %;-;457;51,7 %;-
Ungültige Stimmen;11;2,4 %;-;8;1,8 %;-
Gültige Stimmen;446;97,6 %;-;449;98,2 %;-
SPD;156;35,0 %;-;142;31,6 %;-
AfD;128;28,7 %;-;116;25,8 %;-
CDU;82;18,4 %;-;66;14,7 %;-
GRÜNE/B 90;9;2,0 %;-;18;4,0 %;-
DIE LINKE;36;8,1 %;-;18;4,0 %;-
BVB / FREIE WÄHLER;27;6,1 %;-;16;3,6 %;-
FDP;3;0,7 %;-;2;0,4 %;-
Tierschutzpartei;-;-;-;4;0,9 %;-
Plus;5;1,1 %;-;4;0,9 %;-
BSW;-;-;-;61;13,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,4 %;-
