Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.163;-;-;1.163;-;-
Wählende;572;49,2 %;-;572.0;49,2 %;-
Ungültige Stimmen;9;1,6 %;-;5.0;0,9 %;-
Gültige Stimmen;563;98,4 %;-;567.0;99,1 %;-
SPD;204;36,2 %;-;191.0;33,7 %;-
AfD;191;33,9 %;-;166.0;29,3 %;-
CDU;56;9,9 %;-;44.0;7,8 %;-
GRÜNE/B 90;6;1,1 %;-;9.0;1,6 %;-
DIE LINKE;39;6,9 %;-;18.0;3,2 %;-
BVB / FREIE WÄHLER;52;9,2 %;-;16.0;2,8 %;-
FDP;15;2,7 %;-;7.0;1,2 %;-
Tierschutzpartei;-;-;-;10.0;1,8 %;-
Plus;-;-;-;8.0;1,4 %;-
BSW;-;-;-;93.0;16,4 %;-
III. Weg;-;-;-;1.0;0,2 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;2.0;0,4 %;-
