Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.098;-;-;1.098;-;-
Wählende;398;36,2 %;-;398.0;36,2 %;-
Ungültige Stimmen;5;1,3 %;-;6.0;1,5 %;-
Gültige Stimmen;393;98,7 %;-;392.0;98,5 %;-
SPD;126;32,1 %;-;107.0;27,3 %;-
AfD;157;39,9 %;-;151.0;38,5 %;-
CDU;51;13,0 %;-;37.0;9,4 %;-
GRÜNE/B 90;3;0,8 %;-;6.0;1,5 %;-
DIE LINKE;26;6,6 %;-;14.0;3,6 %;-
BVB / FREIE WÄHLER;26;6,6 %;-;7.0;1,8 %;-
FDP;4;1,0 %;-;2.0;0,5 %;-
Tierschutzpartei;-;-;-;12.0;3,1 %;-
Plus;-;-;-;0.0;0,0 %;-
BSW;-;-;-;53.0;13,5 %;-
III. Weg;-;-;-;1.0;0,3 %;-
DKP;-;-;-;2.0;0,5 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;0.0;0,0 %;-
