Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;522;-;-;522;-;-
Wählende;277;53,1 %;-;277;53,1 %;-
Ungültige Stimmen;4;1,4 %;-;1;0,4 %;-
Gültige Stimmen;273;98,6 %;-;276;99,6 %;-
SPD;85;31,1 %;-;78;28,3 %;-
AfD;127;46,5 %;-;118;42,8 %;-
CDU;25;9,2 %;-;18;6,5 %;-
GRÜNE/B 90;4;1,5 %;-;8;2,9 %;-
DIE LINKE;15;5,5 %;-;5;1,8 %;-
BVB / FREIE WÄHLER;14;5,1 %;-;3;1,1 %;-
FDP;3;1,1 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;8;2,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;34;12,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;1,1 %;-
WU;-;-;-;0;0,0 %;-
