Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;872;-;-;872;-;-
Wählende;403;46,2 %;-;403;46,2 %;-
Ungültige Stimmen;7;1,7 %;-;4;1,0 %;-
Gültige Stimmen;396;98,3 %;-;399;99,0 %;-
SPD;110;27,8 %;-;111;27,8 %;-
AfD;157;39,6 %;-;136;34,1 %;-
CDU;65;16,4 %;-;47;11,8 %;-
GRÜNE/B 90;7;1,8 %;-;10;2,5 %;-
DIE LINKE;26;6,6 %;-;9;2,3 %;-
BVB / FREIE WÄHLER;28;7,1 %;-;3;0,8 %;-
FDP;3;0,8 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;9;2,3 %;-
Plus;-;-;-;4;1,0 %;-
BSW;-;-;-;65;16,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;2;0,5 %;-
