Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;765;-;-;765;-;-
Wählende;351;45,9 %;-;351;45,9 %;-
Ungültige Stimmen;2;0,6 %;-;2;0,6 %;-
Gültige Stimmen;349;99,4 %;-;349;99,4 %;-
SPD;117;33,5 %;-;103;29,5 %;-
AfD;126;36,1 %;-;111;31,8 %;-
CDU;31;8,9 %;-;29;8,3 %;-
GRÜNE/B 90;8;2,3 %;-;18;5,2 %;-
DIE LINKE;43;12,3 %;-;24;6,9 %;-
BVB / FREIE WÄHLER;20;5,7 %;-;10;2,9 %;-
FDP;4;1,1 %;-;2;0,6 %;-
Tierschutzpartei;-;-;-;13;3,7 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;33;9,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;3;0,9 %;-
