Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;750;-;-;750;-;-
Wählende;274;36,5 %;-;274;36,5 %;-
Ungültige Stimmen;4;1,5 %;-;2;0,7 %;-
Gültige Stimmen;270;98,5 %;-;272;99,3 %;-
SPD;73;27,0 %;-;66;24,3 %;-
AfD;141;52,2 %;-;132;48,5 %;-
CDU;14;5,2 %;-;10;3,7 %;-
GRÜNE/B 90;4;1,5 %;-;4;1,5 %;-
DIE LINKE;19;7,0 %;-;11;4,0 %;-
BVB / FREIE WÄHLER;17;6,3 %;-;9;3,3 %;-
FDP;2;0,7 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;6;2,2 %;-
Plus;-;-;-;2;0,7 %;-
BSW;-;-;-;28;10,3 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;-;-;-;1;0,4 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;0;0,0 %;-
