Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;645;-;-;645;-;-
Wählende;375;58,1 %;-;375;58,1 %;-
Ungültige Stimmen;8;2,1 %;-;7;1,9 %;-
Gültige Stimmen;367;97,9 %;-;368;98,1 %;-
SPD;103;28,1 %;-;117;31,8 %;-
AfD;153;41,7 %;-;140;38,0 %;-
CDU;68;18,5 %;-;32;8,7 %;-
GRÜNE/B 90;5;1,4 %;-;4;1,1 %;-
DIE LINKE;12;3,3 %;-;7;1,9 %;-
BVB / FREIE WÄHLER;19;5,2 %;-;15;4,1 %;-
FDP;7;1,9 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;2;0,5 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;43;11,7 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;1;0,3 %;-
