Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;222;-;-;222;-;-
Wählende;130;58,6 %;+24;130;58,6 %;+24
Ungültige Stimmen;0;0,0 %;-36;0;0,0 %;-14
Gültige Stimmen;130;100,0 %;+36;130;100,0 %;+14
SPD;40;30,8 %;+60;42;32,3 %;+51
AfD;63;48,5 %;+240;57;43,8 %;+163
CDU;12;9,2 %;-100;10;7,7 %;-104
GRÜNE/B 90;2;1,5 %;-44;1;0,8 %;-61
DIE LINKE;3;2,3 %;-140;1;0,8 %;-83
BVB / FREIE WÄHLER;9;6,9 %;-09;3;2,3 %;-46
FDP;1;0,8 %;-07;0;0,0 %;-25
Tierschutzpartei;-;-;-;2;1,5 %;+08
Plus;-;-;-;0;0,0 %;-11
BSW;-;-;-;14;10,8 %;+108
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
