Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;324;-;-;324;-;-
Wählende;166;51,2 %;-;166;51,2 %;-
Ungültige Stimmen;2;1,2 %;-;0;0,0 %;-
Gültige Stimmen;164;98,8 %;-;166;100,0 %;-
SPD;33;20,1 %;-;32;19,3 %;-
AfD;86;52,4 %;-;69;41,6 %;-
CDU;22;13,4 %;-;10;6,0 %;-
GRÜNE/B 90;2;1,2 %;-;3;1,8 %;-
DIE LINKE;9;5,5 %;-;1;0,6 %;-
BVB / FREIE WÄHLER;9;5,5 %;-;4;2,4 %;-
FDP;3;1,8 %;-;3;1,8 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;1;0,6 %;-
BSW;-;-;-;37;22,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;6;3,6 %;-
WU;-;-;-;0;0,0 %;-
