Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;100;-;-;100;-;-
Wählende;74;74,0 %;+173;74;74,0 %;+173
Ungültige Stimmen;0;0,0 %;-17;0;0,0 %;-19
Gültige Stimmen;74;100,0 %;+17;74;100,0 %;+19
SPD;30;40,5 %;+201;25;33,8 %;+103
AfD;24;32,4 %;+21;22;29,7 %;-11
CDU;11;14,9 %;-01;7;9,5 %;-53
GRÜNE/B 90;0;0,0 %;-53;0;0,0 %;-72
DIE LINKE;2;2,7 %;-161;0;0,0 %;-110
BVB / FREIE WÄHLER;7;9,5 %;+31;4;5,4 %;+16
FDP;0;0,0 %;-38;0;0,0 %;-42
Tierschutzpartei;-;-;-;4;5,4 %;+20
Plus;-;-;-;0;0,0 %;-13
BSW;-;-;-;10;13,5 %;+135
III. Weg;-;-;-;1;1,4 %;+14
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;1,4 %;+14
WU;-;-;-;0;0,0 %;00
