Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;760;-;-;760;-;-
Wählende;382;50,3 %;+25;382;50,3 %;+25
Ungültige Stimmen;7;1,8 %;-03;3;0,8 %;-08
Gültige Stimmen;375;98,2 %;+03;379;99,2 %;+08
SPD;85;22,7 %;+54;83;21,9 %;+33
AfD;196;52,3 %;+161;182;48,0 %;+109
CDU;51;13,6 %;-14;42;11,1 %;-39
GRÜNE/B 90;5;1,3 %;-28;5;1,3 %;-64
DIE LINKE;10;2,7 %;-149;8;2,1 %;-87
BVB / FREIE WÄHLER;24;6,4 %;-03;9;2,4 %;-40
FDP;4;1,1 %;-20;2;0,5 %;-17
Tierschutzpartei;-;-;-;4;1,1 %;-03
Plus;-;-;-;0;0,0 %;-08
BSW;-;-;-;39;10,3 %;+103
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;3;0,8 %;+08
WU;-;-;-;2;0,5 %;+05
