Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;669;-;-;669;-;-
Wählende;390;58,3 %;-;390;58,3 %;-
Ungültige Stimmen;14;3,6 %;-;11;2,8 %;-
Gültige Stimmen;376;96,4 %;-;379;97,2 %;-
SPD;115;30,6 %;-;98;25,9 %;-
AfD;180;47,9 %;-;175;46,2 %;-
CDU;26;6,9 %;-;17;4,5 %;-
GRÜNE/B 90;5;1,3 %;-;8;2,1 %;-
DIE LINKE;11;2,9 %;-;5;1,3 %;-
BVB / FREIE WÄHLER;33;8,8 %;-;14;3,7 %;-
FDP;6;1,6 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;6;1,6 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;48;12,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;3;0,8 %;-
