Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;300;-;-;300;-;-
Wählende;169;56,3 %;-;169;56,3 %;-
Ungültige Stimmen;2;1,2 %;-;1;0,6 %;-
Gültige Stimmen;167;98,8 %;-;168;99,4 %;-
SPD;46;27,5 %;-;54;32,1 %;-
AfD;74;44,3 %;-;69;41,1 %;-
CDU;31;18,6 %;-;15;8,9 %;-
GRÜNE/B 90;2;1,2 %;-;3;1,8 %;-
DIE LINKE;8;4,8 %;-;4;2,4 %;-
BVB / FREIE WÄHLER;6;3,6 %;-;4;2,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;18;10,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
