Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;224;-;-;224;-;-
Wählende;114;50,9 %;+05;114;50,9 %;+05
Ungültige Stimmen;0;0,0 %;-15;0;0,0 %;-15
Gültige Stimmen;114;100,0 %;+15;114;100,0 %;+15
SPD;24;21,1 %;-04;33;28,9 %;+49
AfD;49;43,0 %;+210;43;37,7 %;+131
CDU;24;21,1 %;+43;7;6,1 %;-117
GRÜNE/B 90;0;0,0 %;-31;0;0,0 %;-47
DIE LINKE;7;6,1 %;-206;1;0,9 %;-164
BVB / FREIE WÄHLER;9;7,9 %;+16;7;6,1 %;+25
FDP;1;0,9 %;-28;0;0,0 %;-42
Tierschutzpartei;-;-;-;5;4,4 %;+07
Plus;-;-;-;1;0,9 %;+09
BSW;-;-;-;16;14,0 %;+140
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;1;0,9 %;+09
