Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;913;-;-;913;-;-
Wählende;460;50,4 %;+55;460;50,4 %;+55
Ungültige Stimmen;3;0,7 %;-19;3;0,7 %;-21
Gültige Stimmen;457;99,3 %;+19;457;99,3 %;+21
SPD;94;20,6 %;-01;97;21,2 %;-14
AfD;246;53,8 %;+166;229;50,1 %;+122
CDU;50;10,9 %;-35;36;7,9 %;-66
GRÜNE/B 90;2;0,4 %;-30;1;0,2 %;-32
DIE LINKE;25;5,5 %;-124;9;2,0 %;-106
BVB / FREIE WÄHLER;36;7,9 %;+30;18;3,9 %;-03
FDP;4;0,9 %;-05;0;0,0 %;-21
Tierschutzpartei;-;-;-;11;2,4 %;+06
Plus;-;-;-;1;0,2 %;-05
BSW;-;-;-;52;11,4 %;+114
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;3;0,7 %;+07
WU;-;-;-;0;0,0 %;00
