Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.205;-;-;1.205;-;-
Wählende;640;53,1 %;-;640.0;53,1 %;-
Ungültige Stimmen;8;1,2 %;-;2.0;0,3 %;-
Gültige Stimmen;632;98,8 %;-;638.0;99,7 %;-
SPD;197;31,2 %;-;170.0;26,6 %;-
AfD;266;42,1 %;-;234.0;36,7 %;-
CDU;62;9,8 %;-;49.0;7,7 %;-
GRÜNE/B 90;9;1,4 %;-;9.0;1,4 %;-
DIE LINKE;40;6,3 %;-;16.0;2,5 %;-
BVB / FREIE WÄHLER;40;6,3 %;-;17.0;2,7 %;-
FDP;18;2,8 %;-;7.0;1,1 %;-
Tierschutzpartei;-;-;-;11.0;1,7 %;-
Plus;-;-;-;3.0;0,5 %;-
BSW;-;-;-;115.0;18,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;6.0;0,9 %;-
WU;-;-;-;0.0;0,0 %;-
