Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.276;-;-;1.276;-;-
Wählende;671;52,6 %;-;671.0;52,6 %;-
Ungültige Stimmen;5;0,7 %;-;4.0;0,6 %;-
Gültige Stimmen;666;99,3 %;-;667.0;99,4 %;-
SPD;202;30,3 %;-;187.0;28,0 %;-
AfD;280;42,0 %;-;253.0;37,9 %;-
CDU;76;11,4 %;-;54.0;8,1 %;-
GRÜNE/B 90;11;1,7 %;-;14.0;2,1 %;-
DIE LINKE;43;6,5 %;-;12.0;1,8 %;-
BVB / FREIE WÄHLER;41;6,2 %;-;12.0;1,8 %;-
FDP;13;2,0 %;-;6.0;0,9 %;-
Tierschutzpartei;-;-;-;19.0;2,8 %;-
Plus;-;-;-;6.0;0,9 %;-
BSW;-;-;-;95.0;14,2 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;4.0;0,6 %;-
WU;-;-;-;5.0;0,7 %;-
