Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;645;-;-;645;-;-
Wählende;320;49,6 %;+62;320;49,6 %;+62
Ungültige Stimmen;5;1,6 %;+03;2;0,6 %;-03
Gültige Stimmen;315;98,4 %;-03;318;99,4 %;+03
SPD;81;25,7 %;+03;73;23,0 %;-37
AfD;139;44,1 %;+174;112;35,2 %;+87
CDU;39;12,4 %;-23;38;11,9 %;-25
GRÜNE/B 90;3;1,0 %;-80;10;3,1 %;-54
DIE LINKE;14;4,4 %;-96;5;1,6 %;-108
BVB / FREIE WÄHLER;33;10,5 %;+30;10;3,1 %;-24
FDP;6;1,9 %;-09;3;0,9 %;-13
Tierschutzpartei;-;-;-;14;4,4 %;+24
Plus;-;-;-;2;0,6 %;-07
BSW;-;-;-;47;14,8 %;+148
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;1;0,3 %;+03
DLW;-;-;-;3;0,9 %;+09
WU;-;-;-;0;0,0 %;00
