Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;247;-;-;247;-;-
Wählende;136;55,1 %;-;136;55,1 %;-
Ungültige Stimmen;2;1,5 %;-;1;0,7 %;-
Gültige Stimmen;134;98,5 %;-;135;99,3 %;-
SPD;28;20,9 %;-;35;25,9 %;-
AfD;54;40,3 %;-;54;40,0 %;-
CDU;26;19,4 %;-;19;14,1 %;-
GRÜNE/B 90;2;1,5 %;-;2;1,5 %;-
DIE LINKE;5;3,7 %;-;5;3,7 %;-
BVB / FREIE WÄHLER;19;14,2 %;-;5;3,7 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;5;3,7 %;-
Plus;-;-;-;2;1,5 %;-
BSW;-;-;-;6;4,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;1,5 %;-
WU;-;-;-;0;0,0 %;-
