Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;489;-;-;489;-;-
Wählende;194;39,7 %;-;194;39,7 %;-
Ungültige Stimmen;3;1,5 %;-;3;1,5 %;-
Gültige Stimmen;191;98,5 %;-;191;98,5 %;-
SPD;64;33,5 %;-;64;33,5 %;-
AfD;81;42,4 %;-;68;35,6 %;-
CDU;23;12,0 %;-;18;9,4 %;-
GRÜNE/B 90;3;1,6 %;-;1;0,5 %;-
DIE LINKE;10;5,2 %;-;5;2,6 %;-
BVB / FREIE WÄHLER;10;5,2 %;-;2;1,0 %;-
FDP;0;0,0 %;-;3;1,6 %;-
Tierschutzpartei;-;-;-;4;2,1 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;26;13,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
