Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;714;-;-;714;-;-
Wählende;326;45,7 %;-;326;45,7 %;-
Ungültige Stimmen;6;1,8 %;-;1;0,3 %;-
Gültige Stimmen;320;98,2 %;-;325;99,7 %;-
SPD;93;29,1 %;-;73;22,5 %;-
AfD;136;42,5 %;-;117;36,0 %;-
CDU;32;10,0 %;-;29;8,9 %;-
GRÜNE/B 90;3;0,9 %;-;10;3,1 %;-
DIE LINKE;34;10,6 %;-;18;5,5 %;-
BVB / FREIE WÄHLER;14;4,4 %;-;6;1,8 %;-
FDP;8;2,5 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;8;2,5 %;-
Plus;-;-;-;3;0,9 %;-
BSW;-;-;-;59;18,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
