Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;757;-;-;757;-;-
Wählende;352;46,5 %;-;352;46,5 %;-
Ungültige Stimmen;2;0,6 %;-;2;0,6 %;-
Gültige Stimmen;350;99,4 %;-;350;99,4 %;-
SPD;126;36,0 %;-;105;30,0 %;-
AfD;132;37,7 %;-;123;35,1 %;-
CDU;33;9,4 %;-;22;6,3 %;-
GRÜNE/B 90;7;2,0 %;-;17;4,9 %;-
DIE LINKE;26;7,4 %;-;11;3,1 %;-
BVB / FREIE WÄHLER;18;5,1 %;-;11;3,1 %;-
FDP;8;2,3 %;-;4;1,1 %;-
Tierschutzpartei;-;-;-;1;0,3 %;-
Plus;-;-;-;3;0,9 %;-
BSW;-;-;-;51;14,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
