Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;766;-;-;766;-;-
Wählende;390;50,9 %;-;390;50,9 %;-
Ungültige Stimmen;10;2,6 %;-;7;1,8 %;-
Gültige Stimmen;380;97,4 %;-;383;98,2 %;-
SPD;132;34,7 %;-;131;34,2 %;-
AfD;139;36,6 %;-;121;31,6 %;-
CDU;54;14,2 %;-;31;8,1 %;-
GRÜNE/B 90;9;2,4 %;-;5;1,3 %;-
DIE LINKE;21;5,5 %;-;11;2,9 %;-
BVB / FREIE WÄHLER;22;5,8 %;-;4;1,0 %;-
FDP;3;0,8 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;8;2,1 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;59;15,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;4;1,0 %;-
