Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;844;-;-;844;-;-
Wählende;443;52,5 %;-;443;52,5 %;-
Ungültige Stimmen;8;1,8 %;-;3;0,7 %;-
Gültige Stimmen;435;98,2 %;-;440;99,3 %;-
SPD;159;36,6 %;-;142;32,3 %;-
AfD;196;45,1 %;-;180;40,9 %;-
CDU;48;11,0 %;-;38;8,6 %;-
GRÜNE/B 90;7;1,6 %;-;3;0,7 %;-
DIE LINKE;-;-;-;8;1,8 %;-
BVB / FREIE WÄHLER;21;4,8 %;-;4;0,9 %;-
FDP;4;0,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;4;0,9 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;56;12,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,7 %;-
WU;-;-;-;1;0,2 %;-
