Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;938;-;-;938;-;-
Wählende;438;46,7 %;-;438;46,7 %;-
Ungültige Stimmen;5;1,1 %;-;7;1,6 %;-
Gültige Stimmen;433;98,9 %;-;431;98,4 %;-
SPD;146;33,7 %;-;125;29,0 %;-
AfD;186;43,0 %;-;166;38,5 %;-
CDU;56;12,9 %;-;38;8,8 %;-
GRÜNE/B 90;3;0,7 %;-;4;0,9 %;-
DIE LINKE;-;-;-;9;2,1 %;-
BVB / FREIE WÄHLER;40;9,2 %;-;16;3,7 %;-
FDP;2;0,5 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;7;1,6 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;60;13,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,7 %;-
WU;-;-;-;0;0,0 %;-
