Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;93;-;-;93;-;-
Wählende;63;67,7 %;-;63;67,7 %;-
Ungültige Stimmen;3;4,8 %;-;0;0,0 %;-
Gültige Stimmen;60;95,2 %;-;63;100,0 %;-
SPD;27;45,0 %;-;22;34,9 %;-
AfD;17;28,3 %;-;16;25,4 %;-
CDU;12;20,0 %;-;13;20,6 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;-;-;-;3;4,8 %;-
BVB / FREIE WÄHLER;3;5,0 %;-;0;0,0 %;-
FDP;1;1,7 %;-;1;1,6 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;7;11,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,6 %;-
WU;-;-;-;0;0,0 %;-
