Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;262;-;-;262;-;-
Wählende;154;58,8 %;-;154;58,8 %;-
Ungültige Stimmen;7;4,5 %;-;3;1,9 %;-
Gültige Stimmen;147;95,5 %;-;151;98,1 %;-
SPD;35;23,8 %;-;42;27,8 %;-
AfD;69;46,9 %;-;61;40,4 %;-
CDU;37;25,2 %;-;19;12,6 %;-
GRÜNE/B 90;2;1,4 %;-;1;0,7 %;-
DIE LINKE;-;-;-;5;3,3 %;-
BVB / FREIE WÄHLER;3;2,0 %;-;0;0,0 %;-
FDP;1;0,7 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;20;13,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;2,0 %;-
WU;-;-;-;0;0,0 %;-
