Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;266;-;-;266;-;-
Wählende;183;68,8 %;-;183;68,8 %;-
Ungültige Stimmen;4;2,2 %;-;2;1,1 %;-
Gültige Stimmen;179;97,8 %;-;181;98,9 %;-
SPD;42;23,5 %;-;39;21,5 %;-
AfD;72;40,2 %;-;69;38,1 %;-
CDU;33;18,4 %;-;18;9,9 %;-
GRÜNE/B 90;2;1,1 %;-;0;0,0 %;-
DIE LINKE;-;-;-;4;2,2 %;-
BVB / FREIE WÄHLER;25;14,0 %;-;9;5,0 %;-
FDP;5;2,8 %;-;4;2,2 %;-
Tierschutzpartei;-;-;-;2;1,1 %;-
Plus;-;-;-;1;0,6 %;-
BSW;-;-;-;30;16,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;1,7 %;-
WU;-;-;-;2;1,1 %;-
