Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;112;-;-;112;-;-
Wählende;90;80,4 %;-;90;80,4 %;-
Ungültige Stimmen;0;0,0 %;-;1;1,1 %;-
Gültige Stimmen;90;100,0 %;-;89;98,9 %;-
SPD;32;35,6 %;-;36;40,4 %;-
AfD;29;32,2 %;-;24;27,0 %;-
CDU;21;23,3 %;-;13;14,6 %;-
GRÜNE/B 90;1;1,1 %;-;0;0,0 %;-
DIE LINKE;-;-;-;2;2,2 %;-
BVB / FREIE WÄHLER;7;7,8 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,2 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;12;13,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
