Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;72;-;-;72;-;-
Wählende;53;73,6 %;-;53;73,6 %;-
Ungültige Stimmen;1;1,9 %;-;1;1,9 %;-
Gültige Stimmen;52;98,1 %;-;52;98,1 %;-
SPD;10;19,2 %;-;15;28,8 %;-
AfD;27;51,9 %;-;26;50,0 %;-
CDU;11;21,2 %;-;3;5,8 %;-
GRÜNE/B 90;0;0,0 %;-;3;5,8 %;-
DIE LINKE;-;-;-;0;0,0 %;-
BVB / FREIE WÄHLER;4;7,7 %;-;1;1,9 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;3;5,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,9 %;-
WU;-;-;-;0;0,0 %;-
