Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;825;-;-;825;-;-
Wählende;458;55,5 %;-;458;55,5 %;-
Ungültige Stimmen;3;0,7 %;-;0;0,0 %;-
Gültige Stimmen;455;99,3 %;-;458;100,0 %;-
SPD;169;37,1 %;-;156;34,1 %;-
AfD;150;33,0 %;-;138;30,1 %;-
CDU;84;18,5 %;-;53;11,6 %;-
GRÜNE/B 90;2;0,4 %;-;6;1,3 %;-
DIE LINKE;-;-;-;9;2,0 %;-
BVB / FREIE WÄHLER;40;8,8 %;-;9;2,0 %;-
FDP;10;2,2 %;-;4;0,9 %;-
Tierschutzpartei;-;-;-;4;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;76;16,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,7 %;-
WU;-;-;-;0;0,0 %;-
