Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;245;-;-;245;-;-
Wählende;155;63,3 %;-;155;63,3 %;-
Ungültige Stimmen;3;1,9 %;-;0;0,0 %;-
Gültige Stimmen;152;98,1 %;-;155;100,0 %;-
SPD;33;21,7 %;-;37;23,9 %;-
AfD;80;52,6 %;-;76;49,0 %;-
CDU;30;19,7 %;-;18;11,6 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,6 %;-
DIE LINKE;-;-;-;0;0,0 %;-
BVB / FREIE WÄHLER;9;5,9 %;-;4;2,6 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,6 %;-
Plus;-;-;-;1;0,6 %;-
BSW;-;-;-;15;9,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,6 %;-
WU;-;-;-;1;0,6 %;-
