Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;293;-;-;293;-;-
Wählende;161;54,9 %;-;161;54,9 %;-
Ungültige Stimmen;3;1,9 %;-;3;1,9 %;-
Gültige Stimmen;158;98,1 %;-;158;98,1 %;-
SPD;36;22,8 %;-;37;23,4 %;-
AfD;79;50,0 %;-;74;46,8 %;-
CDU;22;13,9 %;-;15;9,5 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;-;-;-;2;1,3 %;-
BVB / FREIE WÄHLER;17;10,8 %;-;3;1,9 %;-
FDP;4;2,5 %;-;2;1,3 %;-
Tierschutzpartei;-;-;-;2;1,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;23;14,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
