Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;640;-;-;640;-;-
Wählende;280;43,8 %;-;280;43,8 %;-
Ungültige Stimmen;3;1,1 %;-;0;0,0 %;-
Gültige Stimmen;277;98,9 %;-;280;100,0 %;-
SPD;70;25,3 %;-;69;24,6 %;-
AfD;124;44,8 %;-;107;38,2 %;-
CDU;52;18,8 %;-;36;12,9 %;-
GRÜNE/B 90;5;1,8 %;-;5;1,8 %;-
DIE LINKE;-;-;-;8;2,9 %;-
BVB / FREIE WÄHLER;18;6,5 %;-;3;1,1 %;-
FDP;8;2,9 %;-;8;2,9 %;-
Tierschutzpartei;-;-;-;5;1,8 %;-
Plus;-;-;-;1;0,4 %;-
BSW;-;-;-;37;13,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;0;0,0 %;-
