Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;142;-;-;142;-;-
Wählende;101;71,1 %;-;101;71,1 %;-
Ungültige Stimmen;4;4,0 %;-;2;2,0 %;-
Gültige Stimmen;97;96,0 %;-;99;98,0 %;-
SPD;37;38,1 %;-;34;34,3 %;-
AfD;29;29,9 %;-;29;29,3 %;-
CDU;23;23,7 %;-;17;17,2 %;-
GRÜNE/B 90;1;1,0 %;-;1;1,0 %;-
DIE LINKE;-;-;-;1;1,0 %;-
BVB / FREIE WÄHLER;7;7,2 %;-;3;3,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;11;11,1 %;-
III. Weg;-;-;-;1;1,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,0 %;-
WU;-;-;-;0;0,0 %;-
