Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;211;-;-;211;-;-
Wählende;136;64,5 %;-;136;64,5 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;136;100,0 %;-;136;100,0 %;-
SPD;39;28,7 %;-;32;23,5 %;-
AfD;56;41,2 %;-;57;41,9 %;-
CDU;30;22,1 %;-;18;13,2 %;-
GRÜNE/B 90;1;0,7 %;-;0;0,0 %;-
DIE LINKE;-;-;-;4;2,9 %;-
BVB / FREIE WÄHLER;9;6,6 %;-;1;0,7 %;-
FDP;1;0,7 %;-;1;0,7 %;-
Tierschutzpartei;-;-;-;3;2,2 %;-
Plus;-;-;-;1;0,7 %;-
BSW;-;-;-;18;13,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,7 %;-
