Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;191;-;-;191;-;-
Wählende;112;58,6 %;+41;112;58,6 %;+41
Ungültige Stimmen;2;1,8 %;+01;2;1,8 %;+02
Gültige Stimmen;110;98,2 %;-01;110;98,2 %;-02
SPD;31;28,2 %;+61;27;24,5 %;+08
AfD;58;52,7 %;+231;54;49,1 %;+185
CDU;12;10,9 %;-109;9;8,2 %;-106
GRÜNE/B 90;0;0,0 %;-33;0;0,0 %;-34
DIE LINKE;-;-;-90;1;0,9 %;-76
BVB / FREIE WÄHLER;7;6,4 %;+14;0;0,0 %;-40
FDP;2;1,8 %;-73;2;1,8 %;-65
Tierschutzpartei;-;-;-;0;0,0 %;-19
Plus;-;-;-;0;0,0 %;-07
BSW;-;-;-;16;14,5 %;+145
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;1;0,9 %;+09
WU;-;-;-;0;0,0 %;00
