Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;174;-;-;174;-;-
Wählende;108;62,1 %;-;108;62,1 %;-
Ungültige Stimmen;1;0,9 %;-;0;0,0 %;-
Gültige Stimmen;107;99,1 %;-;108;100,0 %;-
SPD;26;24,3 %;-;25;23,1 %;-
AfD;44;41,1 %;-;45;41,7 %;-
CDU;23;21,5 %;-;15;13,9 %;-
GRÜNE/B 90;2;1,9 %;-;4;3,7 %;-
DIE LINKE;-;-;-;5;4,6 %;-
BVB / FREIE WÄHLER;9;8,4 %;-;0;0,0 %;-
FDP;3;2,8 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;13;12,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
