Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;123;-;-;123;-;-
Wählende;78;63,4 %;-;78;63,4 %;-
Ungültige Stimmen;5;6,4 %;-;0;0,0 %;-
Gültige Stimmen;73;93,6 %;-;78;100,0 %;-
SPD;16;21,9 %;-;18;23,1 %;-
AfD;22;30,1 %;-;22;28,2 %;-
CDU;26;35,6 %;-;21;26,9 %;-
GRÜNE/B 90;1;1,4 %;-;1;1,3 %;-
DIE LINKE;-;-;-;3;3,8 %;-
BVB / FREIE WÄHLER;8;11,0 %;-;3;3,8 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;3;3,8 %;-
BSW;-;-;-;7;9,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
