Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;132;-;-;132;-;-
Wählende;94;71,2 %;-;94;71,2 %;-
Ungültige Stimmen;1;1,1 %;-;2;2,1 %;-
Gültige Stimmen;93;98,9 %;-;92;97,9 %;-
SPD;29;31,2 %;-;30;32,6 %;-
AfD;31;33,3 %;-;33;35,9 %;-
CDU;25;26,9 %;-;15;16,3 %;-
GRÜNE/B 90;1;1,1 %;-;0;0,0 %;-
DIE LINKE;-;-;-;2;2,2 %;-
BVB / FREIE WÄHLER;6;6,5 %;-;5;5,4 %;-
FDP;1;1,1 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;6;6,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;1,1 %;-
