Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;208;-;-;208;-;-
Wählende;133;63,9 %;-;133;63,9 %;-
Ungültige Stimmen;2;1,5 %;-;0;0,0 %;-
Gültige Stimmen;131;98,5 %;-;133;100,0 %;-
SPD;20;15,3 %;-;26;19,5 %;-
AfD;43;32,8 %;-;38;28,6 %;-
CDU;48;36,6 %;-;35;26,3 %;-
GRÜNE/B 90;1;0,8 %;-;0;0,0 %;-
DIE LINKE;-;-;-;2;1,5 %;-
BVB / FREIE WÄHLER;12;9,2 %;-;3;2,3 %;-
FDP;7;5,3 %;-;3;2,3 %;-
Tierschutzpartei;-;-;-;5;3,8 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;18;13,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;1,5 %;-
WU;-;-;-;1;0,8 %;-
