Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;378;-;-;378;-;-
Wählende;194;51,3 %;-;194;51,3 %;-
Ungültige Stimmen;5;2,6 %;-;0;0,0 %;-
Gültige Stimmen;189;97,4 %;-;194;100,0 %;-
SPD;55;29,1 %;-;53;27,3 %;-
AfD;78;41,3 %;-;66;34,0 %;-
CDU;38;20,1 %;-;26;13,4 %;-
GRÜNE/B 90;3;1,6 %;-;2;1,0 %;-
DIE LINKE;-;-;-;2;1,0 %;-
BVB / FREIE WÄHLER;13;6,9 %;-;7;3,6 %;-
FDP;2;1,1 %;-;1;0,5 %;-
Tierschutzpartei;-;-;-;4;2,1 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;32;16,5 %;-
III. Weg;-;-;-;1;0,5 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
