Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;101;-;-;101;-;-
Wählende;76;75,2 %;-;76;75,2 %;-
Ungültige Stimmen;1;1,3 %;-;1;1,3 %;-
Gültige Stimmen;75;98,7 %;-;75;98,7 %;-
SPD;29;38,7 %;-;28;37,3 %;-
AfD;26;34,7 %;-;26;34,7 %;-
CDU;12;16,0 %;-;6;8,0 %;-
GRÜNE/B 90;0;0,0 %;-;1;1,3 %;-
DIE LINKE;-;-;-;0;0,0 %;-
BVB / FREIE WÄHLER;8;10,7 %;-;2;2,7 %;-
FDP;0;0,0 %;-;1;1,3 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;11;14,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
