Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;100;-;-;100;-;-
Wählende;77;77,0 %;-;77;77,0 %;-
Ungültige Stimmen;1;1,3 %;-;2;2,6 %;-
Gültige Stimmen;76;98,7 %;-;75;97,4 %;-
SPD;21;27,6 %;-;19;25,3 %;-
AfD;35;46,1 %;-;36;48,0 %;-
CDU;13;17,1 %;-;6;8,0 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;-;-;-;1;1,3 %;-
BVB / FREIE WÄHLER;6;7,9 %;-;4;5,3 %;-
FDP;1;1,3 %;-;1;1,3 %;-
Tierschutzpartei;-;-;-;1;1,3 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;7;9,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
