Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;152;-;-;152;-;-
Wählende;91;59,9 %;-;91;59,9 %;-
Ungültige Stimmen;2;2,2 %;-;2;2,2 %;-
Gültige Stimmen;89;97,8 %;-;89;97,8 %;-
SPD;15;16,9 %;-;13;14,6 %;-
AfD;50;56,2 %;-;48;53,9 %;-
CDU;17;19,1 %;-;12;13,5 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;-;-;-;0;0,0 %;-
BVB / FREIE WÄHLER;7;7,9 %;-;3;3,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;12;13,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;1,1 %;-
