Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;157;-;-;157;-;-
Wählende;96;61,1 %;-;96;61,1 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;96;100,0 %;-;96;100,0 %;-
SPD;25;26,0 %;-;24;25,0 %;-
AfD;42;43,8 %;-;40;41,7 %;-
CDU;19;19,8 %;-;11;11,5 %;-
GRÜNE/B 90;1;1,0 %;-;0;0,0 %;-
DIE LINKE;-;-;-;1;1,0 %;-
BVB / FREIE WÄHLER;9;9,4 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,1 %;-
Plus;-;-;-;1;1,0 %;-
BSW;-;-;-;15;15,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;1,0 %;-
DLW;-;-;-;1;1,0 %;-
WU;-;-;-;0;0,0 %;-
