Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;132;-;-;132;-;-
Wählende;89;67,4 %;-;89;67,4 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;89;100,0 %;-;89;100,0 %;-
SPD;25;28,1 %;-;19;21,3 %;-
AfD;48;53,9 %;-;43;48,3 %;-
CDU;10;11,2 %;-;10;11,2 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;0;0,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;6;6,7 %;-;3;3,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,2 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;11;12,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,1 %;-
WU;-;-;-;0;0,0 %;-
