Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;214;-;-;214;-;-
Wählende;157;73,4 %;-;157;73,4 %;-
Ungültige Stimmen;2;1,3 %;-;1;0,6 %;-
Gültige Stimmen;155;98,7 %;-;156;99,4 %;-
SPD;53;34,2 %;-;46;29,5 %;-
AfD;54;34,8 %;-;60;38,5 %;-
CDU;25;16,1 %;-;29;18,6 %;-
GRÜNE/B 90;2;1,3 %;-;2;1,3 %;-
DIE LINKE;3;1,9 %;-;1;0,6 %;-
BVB / FREIE WÄHLER;15;9,7 %;-;3;1,9 %;-
FDP;3;1,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;13;8,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,6 %;-
WU;-;-;-;0;0,0 %;-
