Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;186;-;-;186;-;-
Wählende;106;57,0 %;-;106;57,0 %;-
Ungültige Stimmen;2;1,9 %;-;3;2,8 %;-
Gültige Stimmen;104;98,1 %;-;103;97,2 %;-
SPD;16;15,4 %;-;16;15,5 %;-
AfD;68;65,4 %;-;66;64,1 %;-
CDU;10;9,6 %;-;8;7,8 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;2;1,9 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;8;7,7 %;-;2;1,9 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;1;1,0 %;-
BSW;-;-;-;9;8,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,0 %;-
WU;-;-;-;0;0,0 %;-
