Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;147;-;-;147;-;-
Wählende;111;75,5 %;-;111;75,5 %;-
Ungültige Stimmen;0;0,0 %;-;1;0,9 %;-
Gültige Stimmen;111;100,0 %;-;110;99,1 %;-
SPD;35;31,5 %;-;34;30,9 %;-
AfD;51;45,9 %;-;45;40,9 %;-
CDU;16;14,4 %;-;5;4,5 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;0,9 %;-;1;0,9 %;-
BVB / FREIE WÄHLER;7;6,3 %;-;5;4,5 %;-
FDP;1;0,9 %;-;2;1,8 %;-
Tierschutzpartei;-;-;-;3;2,7 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;14;12,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,9 %;-
WU;-;-;-;0;0,0 %;-
