Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;786;-;-;786;-;-
Wählende;435;55,3 %;-;435;55,3 %;-
Ungültige Stimmen;8;1,8 %;-;4;0,9 %;-
Gültige Stimmen;427;98,2 %;-;431;99,1 %;-
SPD;111;26,0 %;-;119;27,6 %;-
AfD;216;50,6 %;-;198;45,9 %;-
CDU;37;8,7 %;-;22;5,1 %;-
GRÜNE/B 90;6;1,4 %;-;0;0,0 %;-
DIE LINKE;19;4,4 %;-;13;3,0 %;-
BVB / FREIE WÄHLER;31;7,3 %;-;11;2,6 %;-
FDP;4;0,9 %;-;3;0,7 %;-
Tierschutzpartei;-;-;-;5;1,2 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;51;11,8 %;-
III. Weg;-;-;-;3;0,7 %;-
DKP;3;0,7 %;-;0;0,0 %;-
DLW;-;-;-;4;0,9 %;-
WU;-;-;-;2;0,5 %;-
