Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;536;-;-;536;-;-
Wählende;280;52,2 %;-;280;52,2 %;-
Ungültige Stimmen;2;0,7 %;-;3;1,1 %;-
Gültige Stimmen;278;99,3 %;-;277;98,9 %;-
SPD;66;23,7 %;-;60;21,7 %;-
AfD;140;50,4 %;-;135;48,7 %;-
CDU;34;12,2 %;-;20;7,2 %;-
GRÜNE/B 90;2;0,7 %;-;3;1,1 %;-
DIE LINKE;15;5,4 %;-;10;3,6 %;-
BVB / FREIE WÄHLER;13;4,7 %;-;4;1,4 %;-
FDP;6;2,2 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;8;2,9 %;-
Plus;-;-;-;1;0,4 %;-
BSW;-;-;-;33;11,9 %;-
III. Weg;-;-;-;1;0,4 %;-
DKP;2;0,7 %;-;1;0,4 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
